TOP_OCCUPATIONS;NUMBER_CERTIFIED_APPLICATIONS;PERCENTAGE
COMPUTER SYSTEMS ANALYSTS;107563;27.6%
SOFTWARE DEVELOPERS, APPLICATIONS;88306;22.7%
COMPUTER PROGRAMMERS;80983;20.8%
COMPUTER OCCUPATIONS, ALL OTHER;50225;12.9%
SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;15302;3.9%
MANAGEMENT ANALYSTS;11963;3.1%
ACCOUNTANTS AND AUDITORS;9710;2.5%
NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;9480;2.4%
FINANCIAL ANALYSTS;8109;2.1%
DATABASE ADMINISTRATORS;7486;1.9%
